Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
EARLY,POST,64,2-Jul-14,731244,8562874,AFY,YWB,GGE,FEA,FBF,,,
EARLY,POST,65,2-Jul-14,731262,8562867,AFY,FEA,YWB,GGE,FBF,,,
MAIN,PRE,66,3-Jul-14,731457,8559806,GWE,FFG,YBY,,,,,
EARLY,POST,67,3-Jul-14,731259,8562734,FBF,GGE,FEA,YWB,AFY,,,
EARLY,POST,68,3-Jul-14,731738,8563230,FFW,BAB,YYE,,,,,
MAIN,PRE,69,3-Jul-14,731063,8561386,AAA,YEW,,,,,,
MAIN,PRE,70,4-Jul-14,731345,8559666,GWE,YBY,,,,,,
MAIN,PRE,71,4-Jul-14,731547,8560946,GYW,AGF,WBW,,,,,
MAIN,PRE,72,5-Jul-14,731092,8561037,BBF,YYF,BWA,EGW,,,,
MAIN,PRE,73,5-Jul-14,731522,8559824,EEF,FFG,WYA,YBY,,,,
MAIN,PRE,74,6-Jul-14,730692,8560452,YFE,EXE,,,,,,
MAIN,PRE,75,6-Jul-14,731298,8559760,GWE,FFG,,,,,,
MAIN,PRE,76,7-Jul-14,731182,8561483,AAA,YEW,,,,,,
EARLY,POST,77,7-Jul-14,731186,8562798,AFY,FEA,GGE,FBF,YWB,,,
MAIN,PRE,78,7-Jul-14,731262,8561415,BBF,YYF,BWA,EGW,,,,
MAIN,PRE,79,13-Jul-14,731181,8562255,EWE,AAY,,,,,,
MAIN,PRE,80,13-Jul-14,731425,8561296,GAG,XXY,,,,,,
MAIN,PRE,81,13-Jul-14,730670,8560358,YFE,FEE,,,,,,
MAIN,PRE,82,13-Jul-14,731543,8560826,GYW,AGF,WBW,,,,,
EARLY,POST,83,13-Jul-14,731735,8562928,BGB,BWB,,,,,,
MAIN,PRE,84,13-Jul-14,731648,8561030,GYW,AGF,WBW,,,,,
MAIN,PRE,85,14-Jul-14,731060,8562247,EWE,FYA,,,,,,
MAIN,PRE,86,14-Jul-14,731181,8562255,EWE,AAY,,,,,,
MAIN,PRE,87,15-Jul-14,730695,8562411,BWE,YBF,,,,,,
EARLY,POST,88,14-Jul-14,731721,8563208,AFY,FEA,GGE,FBF,YWB,,,
EARLY,POST,89,15-Jul-14,731734,8563158,AFY,FEA,GGE,FBF,YWB,,,
MAIN,PRE,90,16-Jul-14,731574,8560844,WBW,GYW,AGF,,,,,
EARLY,POST,91,16-Jul-14,731720,8562560,BGB,BWB,,,,,,
EARLY,POST,92,16-Jul-14,731728,8562560,BGB,BWB,,,,,,
MAIN,PRE,93,17-Jul-14,730698,8560641,WEY,BAF,,,,,,
MAIN,PRE,94,17-Jul-14,731692,8560988,GYW,AGF,WBW,,,,,
EARLY,POST,95,17-Jul-14,731261,8562735,AFY,FEA,YWB,FBF,GGE,,,
MAIN,POST,96,18-Jul-14,730678,8560390,BAF,WEY,,,,,,
MAIN,POST,97,19-Jul-14,730997,8561496,AAA,YEW,,,,,,
MAIN,POST,98,19-Jul-14,731081,8561679,AAA,YEW,,,,,,
EARLY,POST,99,19-Jul-14,731250,8562822,AFY,FEA,YWB,FBF,GGE,,,
EARLY,POST,100,19-Jul-14,731270,8562804,AFY,FEA,YWB,FBF,GGE,,,
EARLY,POST,101,20-Jul-14,730574,8560198,YFE,BAF,WEY,XXX,,,,
EARLY,POST,102,20-Jul-14,730575,8560168,YFE,BAF,WEY,XXX,,,,
EARLY,POST,103,20-Jul-14,730607,8560216,YFE,BAF,WEY,,,,,
EARLY,POST,104,20-Jul-14,731243,8561481,AWW,WYW,BBF,YYF,BWA,EGW,BAA,
EARLY,POST,105,20-Jul-14,731315,8561542,BAA,BBF,BWA,YYF,EGW,WYW,,
EARLY,POST,106,21-Jul-14,730518,8561962,YAF,FWF,,,,,,
EARLY,POST,107,21-Jul-14,730576,8561991,YAF,FWF,,,,,,
EARLY,POST,108,21-Jul-14,730705,8562711,BWE,YBF,,,,,,
EARLY,POST,109,21-Jul-14,730539,8563350,AFF,EWW,EGE,,,,,
EARLY,POST,110,21-Jul-14,730928,8563334,AFF,EWW,EGE,,,,,
MAIN,POST,111,21-Jul-14,731101,8561912,AAA,AAY,EWE,FYA,AAY,YEW,,
MAIN,POST,112,21-Jul-14,730575,8560088,BAF,YFE,,,,,,
MAIN,POST,113,21-Jul-14,730561,8560074,BAF,WEY,YFE,,,,,
MAIN,POST,114,21-Jul-14,731466,8561696,AWW,WYW,,,,,,
MAIN,POST,115,21-Jul-14,730576,8560080,BAF,YFE,,,,,,
EARLY,POST,116,22-Jul-14,730829,8563228,AFF,EWW,EGE,,,,,
MAIN,POST,117,22-Jul-14,730847,8562898,BWE,YBF,,,,,,
MAIN,POST,118,22-Jul-14,730618,8562120,BWY,EAE,,,,,,
MAIN,POST,119,23-Jul-14,731377,8561564,AWW,WYW,,,,,,
MAIN,POST,120,23-Jul-14,731058,8561706,YEW,AAA,,,,,,
EARLY,POST,121,24-Jul-14,730833,8563220,AFF,EWW,EGE,,,,,
EARLY,POST,122,23-Jul-14,730858,8563318,AFF,EWW,EGE,,,,,
EARLY,POST,123,23-Jul-14,731268,8562724,FBF,FEA,YWB,AFY,GGE,,,
MAIN,POST,124,23-Jul-14,732301,8560786,GBA,YEY,WGW,UNB1,UNB2,UNB3,WFY,
MAIN,POST,125,23-Jul-14,730544,8559984,BAF,YFE,EXE,XXX,WEY,,,
MAIN,PRE,126,,731056,8562358,FYA,EWE,AAY,,,,,
MAIN,PRE,127,,731108,8532354,FYA,EWE,AAY,,,,,
MAIN,PRE,128,,731152,8562344,FYA,EWE,AAY,,,,,
MAIN,PRE,129,,731192,8562324,FYA,EWE,AAY,,,,,
MAIN,PRE,130,,731262,8562304,FYA,EWE,AAY,,,,,
MAIN,PRE,131,,731277,8562214,FYA,EWE,AAY,,,,,
MAIN,PRE,132,,731234,8562218,FYA,EWE,AAY,,,,,
MAIN,PRE,133,,731166,8562214,EWE,AAY,,,,,,
MAIN,POST,134,24-Jul-14,731137,8561628,AAA,WFW,WYW,AWW,YEW,,,
MAIN,POST,135,24-Jul-14,731278,8561550,YEW,WYW,,,,,,
MAIN,POST,136,24-Jul-14,731281,8561582,AAA,WFW,AWW,,,,,
EARLY,POST,137,24-Jul-14,730886,8563340,EGE,AFF,,,,,,
EARLY,POST,138,24-Jul-14,731253,8562840,FBF,FEA,YWB,AFY,GGE,,,
EARLY,POST,139,24-Jul-14,731444,8562835,FBF,FEA,YWB,AFY,GGE,,,
