,Focal.Letter,Social.Partner,Treatment.Period,Group.ID.Populations,Treatment,num_interactions,ordered.pair.period,scans.where.at.least.1.seen,SRI
1839,KM,UA,1,T1,Treatment,1,KM_UA_1,44,0.022727273
1840,KM,UC,2,T1,Treatment,1,KM_UC_2,46,0.02173913
1841,KM,UD,2,T1,Treatment,2,KM_UD_2,47,0.042553191
1842,KM,UE,1,T1,Treatment,2,KM_UE_1,47,0.042553191
1843,KM,UH,1,T1,Treatment,3,KM_UH_1,45,0.066666667
1844,KM,UH,2,T1,Treatment,1,KM_UH_2,47,0.021276596
1845,KM,UL,2,T1,Treatment,1,KM_UL_2,48,0.020833333
1846,KM,UM,2,T1,Treatment,3,KM_UM_2,47,0.063829787
1847,KM,UO,2,T1,Treatment,2,KM_UO_2,47,0.042553191
1848,KM,UP,1,T1,Treatment,4,KM_UP_1,47,0.085106383
1849,KM,UP,2,T1,Treatment,5,KM_UP_2,46,0.108695652
1850,KM,US,1,T1,Treatment,4,KM_US_1,45,0.088888889
1851,KM,US,2,T1,Treatment,2,KM_US_2,47,0.042553191
1852,KM,UT,1,T1,Treatment,4,KM_UT_1,44,0.090909091
1853,KM,UU,1,T1,Treatment,5,KM_UU_1,46,0.108695652
1854,KM,UU,2,T1,Treatment,4,KM_UU_2,47,0.085106383
1855,KM,UV,2,T1,Treatment,1,KM_UV_2,45,0.022222222
1856,KM,UX,2,T1,Treatment,4,KM_UX_2,46,0.086956522
1857,KM,UZ,1,T1,Treatment,1,KM_UZ_1,44,0.022727273
1858,KO,KA,1,T1,Treatment,3,KA_KO_1,44,0.068181818
1859,KO,KA,2,T1,Treatment,1,KA_KO_2,43,0.023255814
1860,KO,KC,1,T1,Treatment,2,KC_KO_1,45,0.044444444
1861,KO,KD,1,T1,Treatment,1,KD_KO_1,47,0.021276596
1862,KO,KH,1,T1,Treatment,2,KH_KO_1,45,0.044444444
1863,KO,KH,2,T1,Treatment,1,KH_KO_2,46,0.02173913
1864,KO,KK,1,T1,Treatment,2,KK_KO_1,41,0.048780488
1865,KO,KK,2,T1,Treatment,1,KK_KO_2,47,0.021276596
1866,KO,KP,1,T1,Treatment,1,KO_KP_1,45,0.022222222
1867,KO,KS,2,T1,Treatment,1,KO_KS_2,48,0.020833333
