"node_ID","eigenvector_centrality","betweeness","degree","network","animal","condition","replicate_num"
"SU114","0","0.0138888888888889","3","LattanzioMiles","tree lizards","low burn",NA
"SU116","0","0.347222222222222","5","LattanzioMiles","tree lizards","low burn",NA
"SU75","0","0.513888888888889","4","LattanzioMiles","tree lizards","low burn",NA
"SU76","0","0.277777777777778","3","LattanzioMiles","tree lizards","low burn",NA
"SU80","0","1","2","LattanzioMiles","tree lizards","low burn",NA
"SU87","0","0.888888888888889","3","LattanzioMiles","tree lizards","low burn",NA
"SU89","0.210673453499106","0.111111111111111","4","LattanzioMiles","tree lizards","low burn",NA
"SU91","9.92840423798846e-19","0","1","LattanzioMiles","tree lizards","low burn",NA
"SU93","1","0.194444444444444","12","LattanzioMiles","tree lizards","low burn",NA
"SU95","0","0.347222222222222","5","LattanzioMiles","tree lizards","low burn",NA
"SU98","0","0","3","LattanzioMiles","tree lizards","low burn",NA
"SU99","0","0.138888888888889","3","LattanzioMiles","tree lizards","low burn",NA
"SU100","0","0","1","LattanzioMiles","tree lizards","low burn",NA
"SU86","0","0","2","LattanzioMiles","tree lizards","low burn",NA
"SU96","0","0","4","LattanzioMiles","tree lizards","low burn",NA
"SU81","0","1","3","LattanzioMiles","tree lizards","low burn",NA
"SU94","0","0.972222222222222","2","LattanzioMiles","tree lizards","low burn",NA
"SU104","0","0","1","LattanzioMiles","tree lizards","low burn",NA
"CU138","0.793293539752792","0.463718467767051","8","LattanzioMiles","tree lizards","no burn",NA
"CU140","0.889273511971679","0.686390532544379","9","LattanzioMiles","tree lizards","no burn",NA
"CU141","0.0141395932458459","0.373715353472439","3","LattanzioMiles","tree lizards","no burn",NA
"CU145","2.68322304857851e-05","0","2","LattanzioMiles","tree lizards","no burn",NA
"CU147","0.539634940567317","0.483961382746808","8","LattanzioMiles","tree lizards","no burn",NA
"CU150","0.00188561472304255","0.661476175646216","3","LattanzioMiles","tree lizards","no burn",NA
"CU152","0","0","1","LattanzioMiles","tree lizards","no burn",NA
"CU154","0","0","1","LattanzioMiles","tree lizards","no burn",NA
"CU159","0.999999999999999","0.00404858299595142","7","LattanzioMiles","tree lizards","no burn",NA
"CU162","0.171430451126928","0.360012457178449","6","LattanzioMiles","tree lizards","no burn",NA
"CU165","0.101692125872758","0","5","LattanzioMiles","tree lizards","no burn",NA
"CU167","0.818207077651331","0.296169417626908","7","LattanzioMiles","tree lizards","no burn",NA
"CU170","0.163718215389914","0.352538150109","6","LattanzioMiles","tree lizards","no burn",NA
"CU171","0.0469232365137466","0.0560573030208658","4","LattanzioMiles","tree lizards","no burn",NA
"CU174","0.743091965302863","0.0379943942696979","5","LattanzioMiles","tree lizards","no burn",NA
"CU175","0.186633411033321","0","4","LattanzioMiles","tree lizards","no burn",NA
"CU177","0.158524413277967","0","4","LattanzioMiles","tree lizards","no burn",NA
"CU180","0.154841200253812","0.222360635316101","5","LattanzioMiles","tree lizards","no burn",NA
"CU185","1.41726036892464e-06","0","1","LattanzioMiles","tree lizards","no burn",NA
"CU187","1.06768671409529e-05","0.36624104640299","3","LattanzioMiles","tree lizards","no burn",NA
"CU45","0.140456396486679","1","4","LattanzioMiles","tree lizards","no burn",NA
"CU53","1","0.00404858299595142","7","LattanzioMiles","tree lizards","no burn",NA
"CU92","0.100720151516671","0","5","LattanzioMiles","tree lizards","no burn",NA
"CU95","0.675441115005506","0.255683587667393","8","LattanzioMiles","tree lizards","no burn",NA
"CU96","0.599345586046384","0.517595764559327","8","LattanzioMiles","tree lizards","no burn",NA
"CU78","0.0141395932458459","0.373715353472439","3","LattanzioMiles","tree lizards","no burn",NA
"CU143","0.000131200643989699","0.515727187791965","3","LattanzioMiles","tree lizards","no burn",NA
"CU178","0.158524413277967","0","4","LattanzioMiles","tree lizards","no burn",NA
"CU184","0","0","1","LattanzioMiles","tree lizards","no burn",NA
"CU58","0","0","1","LattanzioMiles","tree lizards","no burn",NA
"CU114","0.0692227032688283","0","4","LattanzioMiles","tree lizards","no burn",NA
"N12","0.990729765144569","0.740540540540541","5","burnsetal2020","wood ants","before","2b"
"N5","0.925908135380144","1","5","burnsetal2020","wood ants","before","2b"
"N9","0.310246346081041","0.0810810810810811","2","burnsetal2020","wood ants","before","2b"
"N1","0.444912463946209","0","2","burnsetal2020","wood ants","before","2b"
"N6","0.310979807818473","0.0432432432432432","2","burnsetal2020","wood ants","before","2b"
"N13","0.693222382438804","0.254054054054054","3","burnsetal2020","wood ants","before","2b"
"N18","0.0983729884899405","0","1","burnsetal2020","wood ants","before","2b"
"N11","0.444912463946209","0","2","burnsetal2020","wood ants","before","2b"
"N16","0.616936773601638","0","2","burnsetal2020","wood ants","before","2b"
"N7","0.317429669704858","0.356756756756757","2","burnsetal2020","wood ants","before","2b"
"T2","1","0.535135135135135","4","burnsetal2020","wood ants","before","2b"
"T3","0.690122188525924","0.524324324324324","3","burnsetal2020","wood ants","before","2b"
"N17","0.286943405224793","0","1","burnsetal2020","wood ants","before","2b"
"N51","1","0.925925925925926","3","burnsetal2020","wood ants","after","2b"
"N91","0.580180442413435","0.037037037037037","2","burnsetal2020","wood ants","after","2b"
"N121","0.78765425868081","1","3","burnsetal2020","wood ants","after","2b"
"N111","0.594321478106546","0.62962962962963","3","burnsetal2020","wood ants","after","2b"
"N131","0.710380730201791","0.259259259259259","2","burnsetal2020","wood ants","after","2b"
"N21","3.0268193798429e-16","0","1","burnsetal2020","wood ants","after","2b"
"N171","4.6821293359464e-16","0.037037037037037","2","burnsetal2020","wood ants","after","2b"
"N14","0.354095261787722","0","1","burnsetal2020","wood ants","after","2b"
"N71","4.85794768494253e-16","0.0740740740740741","2","burnsetal2020","wood ants","after","2b"
"N161","0.267181211879266","0","1","burnsetal2020","wood ants","after","2b"
"N181","3.1440127502654e-16","0","1","burnsetal2020","wood ants","after","2b"
"T21","0.803651977675698","0.925925925925926","2","burnsetal2020","wood ants","after","2b"
"T4","0.710380730201791","0.259259259259259","2","burnsetal2020","wood ants","after","2b"
"T1","0.267181211879266","0","1","burnsetal2020","wood ants","after","2b"
"N61","0.580180442413435","0.037037037037037","2","burnsetal2020","wood ants","after","2b"
"N19","5.51388289047167e-16","0.0740740740740741","2","burnsetal2020","wood ants","after","2b"
"T5","2.14426169797146e-16","0","1","burnsetal2020","wood ants","after","2b"
"N20","2.28825737057094e-16","0","1","burnsetal2020","wood ants","after","2b"
"N2","1","1","4","burnsetal2020","wood ants","before","2a"
"N4","0.916158326716938","0","3","burnsetal2020","wood ants","before","2a"
"N3","0.990993297433125","0.625","4","burnsetal2020","wood ants","before","2a"
"N52","0.349887889912187","0.625","2","burnsetal2020","wood ants","before","2a"
"T22","0.916158326716938","0","3","burnsetal2020","wood ants","before","2a"
"T11","0.312301138207564","0","1","burnsetal2020","wood ants","before","2a"
"T31","0.110263496784137","0","1","burnsetal2020","wood ants","before","2a"
"N41","0.599676410072793","0.384615384615385","2","burnsetal2020","wood ants","after","2a"
"N31","0.599676410072793","0.384615384615385","2","burnsetal2020","wood ants","after","2a"
"N22","1","1","4","burnsetal2020","wood ants","after","2a"
"T23","0.280776406404415","0","1","burnsetal2020","wood ants","after","2a"
"T12","0.280776406404415","0","1","burnsetal2020","wood ants","after","2a"
"N53","0.468213192462135","0","1","burnsetal2020","wood ants","after","2a"
"N62","0.468213192462136","0","1","burnsetal2020","wood ants","after","2a"
"N32","0.521386825201084","0.203703703703704","3","burnsetal2020","wood ants","before","12"
"N54","0.396006338264429","0.388888888888889","3","burnsetal2020","wood ants","before","12"
"N42","1","1","6","burnsetal2020","wood ants","before","12"
"N141","0.207585766010152","0","2","burnsetal2020","wood ants","before","12"
"N172","0.655646513121524","0.0925925925925926","3","burnsetal2020","wood ants","before","12"
"N191","0.415171532020305","0","2","burnsetal2020","wood ants","before","12"
"N15","0.448060747111372","0.37037037037037","3","burnsetal2020","wood ants","before","12"
"T24","0.165077494245604","0","1","burnsetal2020","wood ants","before","12"
"T51","0.125380486936656","0","1","burnsetal2020","wood ants","before","12"
"T32","0.481689817892136","0","2","burnsetal2020","wood ants","before","12"
"T7","0.655646513121524","0.0925925925925926","3","burnsetal2020","wood ants","before","12"
"T6","0.207585766010152","0","2","burnsetal2020","wood ants","before","12"
"T41","0.125380486936655","0","1","burnsetal2020","wood ants","before","12"
