TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
C3,1,EC,11,0.407407407,0.190856513,0.613636364,0.041360491
C3,1,ED,8,0.296296296,0.138207842,0.5625,0.018532085
C3,1,EU,13,0.481481481,0.256481703,0.627906977,0.029425204
C3,1,OA,9,0.333333333,0.166717618,0.6,0.020920129
C3,1,OC,4,0.148148148,0.080951476,0.509433962,0.002068919
C3,1,OD,9,0.333333333,0.160186808,0.586956522,0.021455705
C3,1,OH,13,0.481481481,0.252150795,0.642857143,0.04537037
C3,1,OM,7,0.259259259,0.129907059,0.5625,0.01482499
C3,1,OO,11,0.407407407,0.211648509,0.613636364,0.028757045
C3,1,OS,13,0.481481481,0.246192669,0.658536585,0.052991864
C3,1,OT,8,0.296296296,0.17565023,0.574468085,0.007397232
C3,1,EM,11,0.407407407,0.212006334,0.613636364,0.027831017
C3,1,ET,9,0.333333333,0.170637166,0.574468085,0.016890517
C3,1,EX,9,0.333333333,0.164419656,0.586956522,0.019927192
C3,1,OK,11,0.407407407,0.220778726,0.613636364,0.022591914
C3,1,OP,9,0.333333333,0.164293353,0.586956522,0.018448527
C3,1,EE,2,0.074074074,0.037985284,0.442622951,0.000474834
C3,1,EK,10,0.37037037,0.184670065,0.6,0.043596116
C3,1,OU,13,0.481481481,0.213886004,0.658536585,0.090467968
C3,1,EL,13,0.481481481,0.264068398,0.642857143,0.032477605
C3,1,EP,14,0.518518519,0.268163135,0.658536585,0.063134191
C3,1,EV,11,0.407407407,0.218963189,0.613636364,0.017903701
C3,1,OL,11,0.407407407,0.236228321,0.613636364,0.017449115
C3,1,EZ,9,0.333333333,0.18450046,0.586956522,0.010708736
C3,1,OX,8,0.296296296,0.150999285,0.574468085,0.012678063
C3,1,OZ,4,0.148148148,0.085295945,0.509433962,0.000569801
C3,2,EA,11,0.392857143,0.148597737,0.608695652,0.017662768
C3,2,ED,6,0.214285714,0.098860207,0.549019608,0.001592389
C3,2,EK,16,0.571428571,0.233497174,0.7,0.029588783
C3,2,EL,19,0.678571429,0.262658117,0.756756757,0.059328319
C3,2,EM,17,0.607142857,0.229600329,0.717948718,0.053422034
