Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
SZ,C4_2,30,1.491162131,5,0.383914263,2,C,F,C4,6.736,23
KA,T1_1,1,1.687755492,1,0.510178661,1,T,M,T1,6.55,23
KA,T1_2,1,2.675262823,26,0.66022103,2,T,M,T1,6.55,23
KC,T1_1,2,3.359527108,13,0.312487772,1,T,M,T1,6.968,37
KC,T1_2,2,2.961176491,24,0.430511688,2,T,M,T1,6.968,38
KD,T1_1,3,2.123608539,12,0.248091168,1,T,M,T1,7.48,46
KD,T1_2,3,2.739555616,17,0.372935861,2,T,M,T1,7.48,41
KE,T1_1,4,0.452829758,0,0.321582486,1,T,M,T1,6.338,36
KE,T1_2,4,2.142710853,16,0.538449601,2,T,M,T1,6.338,34
KH,T1_1,5,1.546449741,1,0.444655046,1,T,M,T1,6.563,29
KH,T1_2,5,1.257781914,0,0.491447803,2,T,M,T1,6.563,33
KK,T1_1,6,1.639478037,5,0.533346471,1,T,M,T1,7.138,24
KK,T1_2,6,3.363909643,19,0.504869734,2,T,M,T1,7.138,33
KL,T1_1,7,2.73810094,32,0.241029395,1,T,M,T1,6.606,44
KL,T1_2,7,2.583240576,10,0.418532302,2,T,M,T1,6.606,40
KM,T1_1,8,2.923259825,49,0.499136319,1,T,M,T1,7.033,44
KM,T1_2,8,3.3661841,39,0.401831983,2,T,M,T1,7.033,41
KO,T1_1,9,3.452144794,52,0.383047764,1,T,M,T1,6.471,41
KO,T1_2,9,1.794873389,1,0.419615007,2,T,M,T1,6.471,35
KP,T1_1,10,3.203808608,33,0.36492784,1,T,M,T1,6.874,38
KP,T1_2,10,2.328216849,15,0.460238973,2,T,M,T1,6.874,33
KS,T1_1,11,2.405364883,5,0.427137277,1,T,M,T1,7.296,32
KS,T1_2,11,2.116328904,11,0.351013704,2,T,M,T1,7.296,41
KT,T1_1,12,2.193862621,0,0.466056369,1,T,M,T1,6.636,45
KT,T1_2,12,3.572561874,19,0.539424889,2,T,M,T1,6.636,36
KV,T1_1,13,2.546933619,33,0.360676664,1,T,M,T1,6.019,24
KV,T1_2,13,1.808765699,11,0.600536375,2,T,M,T1,6.019,22
KX,T1_1,14,0.958053428,0,0.907802132,1,T,M,T1,7.393,32
KX,T1_2,14,0.923632157,0,0.527864583,2,T,M,T1,7.393,33
KZ,T1_1,15,3.485719057,29,0.385853242,1,T,M,T1,6.613,40
KZ,T1_2,15,3.617374143,37,0.453887251,2,T,M,T1,6.613,39
UA,T1_1,16,1.580884265,6,0.349264271,1,T,F,T1,6.975,28
UA,T1_2,16,0.916780445,0,0.601591863,2,T,F,T1,6.975,13
UC,T1_1,17,2.613599374,11,0.410880937,1,T,F,T1,6.311,33
UC,T1_2,17,1.525551166,0,0.615319883,2,T,F,T1,6.311,14
UD,T1_1,18,2.172942248,4,0.507182099,1,T,F,T1,7.056,35
UD,T1_2,18,2.073461786,6,0.461527145,2,T,F,T1,7.056,22
UE,T1_1,19,1.712155207,0,0.529962412,1,T,F,T1,5.48,23
UE,T1_2,19,2.42939059,15,0.590166035,2,T,F,T1,5.48,30
UH,T1_1,20,3.343632212,34,0.385733774,1,T,F,T1,6.665,31
UH,T1_2,20,2.688833624,39,0.51606947,2,T,F,T1,6.665,30
UL,T1_1,21,1.714191363,16,0.30361908,1,T,F,T1,6.254,28
UL,T1_2,21,3.655417682,15,0.548976059,2,T,F,T1,6.254,28
UM,T1_1,22,2.70446017,21,0.400249459,1,T,F,T1,6.469,23
UM,T1_2,22,1.220082226,0,0.371971025,2,T,F,T1,6.469,26
UO,T1_1,23,1.777117873,20,0.479320326,1,T,F,T1,6.906,30
UO,T1_2,23,3.420828558,32,0.395279237,2,T,F,T1,6.906,36
UP,T1_1,24,2.761312436,21,0.442976996,1,T,F,T1,7.385,38
UP,T1_2,24,3.031318308,46,0.522759414,2,T,F,T1,7.385,34
US,T1_1,25,1.941504704,3,0.490276897,1,T,F,T1,6.921,29
US,T1_2,25,2.7939203,3,0.432028988,2,T,F,T1,6.921,30
UT,T1_1,26,2.170446417,21,0.4355788,1,T,F,T1,6.642,29
UT,T1_2,26,2.616225536,5,0.444573686,2,T,F,T1,6.642,29
UU,T1_1,27,2.390127589,31,0.547062042,1,T,F,T1,7.058,43
UU,T1_2,27,3.687372281,43,0.474130319,2,T,F,T1,7.058,33
UV,T1_1,28,0.863281105,0,0.555276431,1,T,F,T1,7.248,16
UV,T1_2,28,0.768001849,0,0.595259939,2,T,F,T1,7.248,15
UX,T1_1,29,1.743310069,12,0.445759866,1,T,F,T1,6.422,21
UX,T1_2,29,2.380989928,13,0.495729129,2,T,F,T1,6.422,22
UZ,T1_1,30,2.927561372,21,0.338715577,1,T,F,T1,7.463,27
UZ,T1_2,30,3.668362687,41,0.432949169,2,T,F,T1,7.463,30
LA,T2_1,1,1.953515569,3,0.345259666,1,T,M,T2,7.19,37
LA,T2_2,1,3.948319978,49,0.608644025,2,T,M,T2,7.19,41
LC,T2_1,2,2.691853331,42,0.440706172,1,T,M,T2,6.276,36
LC,T2_2,2,3.115516966,14,0.561093031,2,T,M,T2,6.276,38
LD,T2_1,3,2.447359245,18,0.42342992,1,T,M,T2,7.015,44
LD,T2_2,3,2.970600627,8,0.5593963,2,T,M,T2,7.015,43
