box,IDA[inside_first],sexA,IDB[inside_after_IDA],sexB,number_encounters,time_together[sec],date_obs
9,00074be0ac,XY,00074be28b,XY,2,2671,10-Feb
9,00074be0ac,XY,00074d8ad8,XX,3,1361,10-Feb
9,00074be0ac,XY,00075b0d29,XY,24,5348,10-Feb
9,00074be0ac,XY,00074db688,XX,6,5355,10-Feb
9,00074be0ac,XY,00075b9048,XY,16,8812,10-Feb
9,00074be0ac,XY,00075b7c89,XY,4,713,10-Feb
9,00074be0ac,XY,000757cfa9,XX,3,818,10-Feb
10,00074be0ac,XY,00075b135d,XX,4,725,11-Feb
10,00074be0ac,XY,000757cfa9,XX,1,65,11-Feb
10,00074be0ac,XY,00074d8ad8,XX,11,3055,11-Feb
10,00074be0ac,XY,00074db688,XX,2,3861,11-Feb
10,00074be0ac,XY,00075b7c89,XY,1,546,11-Feb
10,00074be0ac,XY,00074da036,XX,2,5387,11-Feb
10,00074be0ac,XY,00074da6b4,XY,5,5607,11-Feb
10,00074be0ac,XY,00074db098,XX,1,3050,11-Feb
10,00074be0ac,XY,00074daa3c,XX,6,4903,11-Feb
10,00074be0ac,XY,00075b4ca0,XY,14,5544,11-Feb
10,00074be0ac,XY,00075a6708,XX,4,6354,11-Feb
10,00074be0ac,XY,00074d9c87,XX,3,1259,11-Feb
10,00074be0ac,XY,000757cfa9,XX,1,529,13-Feb
10,00074be0ac,XY,00074db098,XX,1,3464,13-Feb
10,00074be0ac,XY,00075b7c89,XY,1,566,13-Feb
10,00074be0ac,XY,00074daa3c,XX,5,5143,13-Feb
10,00074be0ac,XY,00074db688,XX,2,3987,13-Feb
10,00074be0ac,XY,00075a6708,XX,4,1197,13-Feb
10,00074be0ac,XY,00074d8697,XY,4,2293,13-Feb
10,00074be0ac,XY,00074da5e8,XX,2,935,13-Feb
10,00074be0ac,XY,00075b135d,XX,6,2321,13-Feb
10,00074be0ac,XY,00074d8ad8,XX,7,2902,13-Feb
10,00074be0ac,XY,00075b4ca0,XY,20,6093,13-Feb
10,00074be0ac,XY,00074d9c87,XX,12,2470,13-Feb
10,00074be0ac,XY,00074da6b4,XY,10,7991,13-Feb
10,00074be0ac,XY,00074da036,XX,5,6045,13-Feb
10,00074be0ac,XY,000757b515,XY,4,4931,13-Feb
10,00074be0ac,XY,00074d8ad8,XX,2,2863,15-Feb
10,00074be0ac,XY,00075b7c89,XY,5,3153,15-Feb
10,00074be0ac,XY,00074daa3c,XX,3,1780,15-Feb
10,00074be0ac,XY,00074da5e8,XX,3,2872,15-Feb
10,00074be0ac,XY,00074da6b4,XY,6,8315,15-Feb
10,00074be0ac,XY,00074db098,XX,3,4930,15-Feb
10,00074be0ac,XY,000757cfa9,XX,3,2655,15-Feb
10,00074be0ac,XY,00075b4ca0,XY,14,5062,15-Feb
10,00074be0ac,XY,00075b135d,XX,5,7126,15-Feb
10,00074be0ac,XY,00074db688,XX,4,2600,15-Feb
10,00074be0ac,XY,00074d9c87,XX,3,4192,15-Feb
10,00074be0ac,XY,00074da036,XX,5,1704,15-Feb
10,00074be0ac,XY,00075a6708,XX,5,1699,15-Feb
10,00074be0ac,XY,00074dd577,XX,1,21,15-Jan
10,00074be0ac,XY,00075b7c89,XY,2,1238,15-Jan
10,00074be0ac,XY,00074d8697,XY,2,82,15-Jan
10,00074be0ac,XY,00074da6b4,XY,3,348,15-Jan
10,00074be0ac,XY,00075a6708,XX,5,2852,15-Jan
10,00074be0ac,XY,000757b515,XY,2,1774,15-Jan
10,00074be0ac,XY,00075b4ca0,XY,9,1322,15-Jan
10,00074be0ac,XY,00074daa3c,XX,1,1201,15-Jan
10,00074be0ac,XY,00075b135d,XX,1,121,15-Jan
10,00074be0ac,XY,00074db688,XX,2,1410,15-Jan
9,00074be0ac,XY,00074db098,XX,1,10,15-Jan
10,00074be0ac,XY,00074d8697,XY,1,71,17-Feb
10,00074be0ac,XY,00075b135d,XX,1,641,17-Feb
10,00074be0ac,XY,000757cfa9,XX,2,1042,17-Feb
10,00074be0ac,XY,00075b4ca0,XY,4,1001,17-Feb
10,00074be0ac,XY,00074da036,XX,1,2,17-Feb
10,00074be0ac,XY,00074d9c87,XX,1,1060,17-Feb
10,00074be0ac,XY,00074da6b4,XY,1,403,17-Feb
8,00074be0ac,XY,000757cfa9,XX,1,631,17-Feb
8,00074be0ac,XY,00074daa3c,XX,3,98,17-Feb
8,00074be0ac,XY,00075b7c89,XY,1,2497,17-Feb
8,00074be0ac,XY,00075b9048,XY,18,7607,17-Feb
8,00074be0ac,XY,00074db688,XX,3,2674,17-Feb
8,00074be0ac,XY,00074da5e8,XX,5,6320,17-Feb
8,00074be0ac,XY,00074d8ad8,XX,1,3287,17-Feb
8,00074be0ac,XY,00074dca60,XY,1,2914,17-Feb
8,00074be0ac,XY,00075b0d29,XY,24,6069,17-Feb
8,00074be0ac,XY,00075a6708,XX,3,3805,17-Feb
8,00074be0ac,XY,00075a7c79,XY,18,7684,17-Feb
8,00074be0ac,XY,00074db098,XX,2,5631,17-Feb
8,00074be0ac,XY,00075b135d,XX,3,537,17-Feb
10,00074be0ac,XY,00074daa3c,XX,1,773,18-Jan
10,00074be0ac,XY,00075b135d,XX,1,678,18-Jan
10,00074be0ac,XY,00074db688,XX,1,561,18-Jan
10,00074be0ac,XY,00075b7c89,XY,2,607,18-Jan
10,00074be0ac,XY,000757b515,XY,1,1341,18-Jan
10,00074be0ac,XY,00074d9c87,XX,1,712,18-Jan
10,00074be0ac,XY,00075a6708,XX,4,1478,18-Jan
10,00074be0ac,XY,00075b4ca0,XY,2,183,18-Jan
10,00074be0ac,XY,00074d8697,XY,2,250,18-Jan
10,00074be0ac,XY,00074da036,XX,2,702,18-Jan
10,00074be0ac,XY,00074dd577,XX,1,661,18-Jan
10,00074be0ac,XY,00074db098,XX,1,214,18-Jan
9,00074be0ac,XY,00074db098,XX,2,1204,18-Jan
9,00074be0ac,XY,00075b9048,XY,4,8986,18-Jan
9,00074be0ac,XY,00075b0d29,XY,23,9549,18-Jan
9,00074be0ac,XY,00075a7c79,XY,20,3819,18-Jan
