LowRisk1,Low1.1,,,,,,,,,,Low1.2,,,,,,,,,,Low1.3,,,,,,,,
,5,5,6,6,6,X,3,6,X,,5,2,1,7,3,7,3,X,7,,5,X,X,5,X,X,1,2,X
,6,8,6,6,8,X,3,3,X,,6,2,1,4,3,3,4,5,1,,6,8,X,5,X,X,4,3,6
,7,4,6,6,3,X,3,5,X,,7,4,3,4,3,3,1,5,2,,7,8,X,5,X,X,5,3,X
,8,5,6,6,2,X,3,1,X,,8,7,1,6,3,4,7,6,3,,8,X,X,1,X,X,2,3,X
,9,4,6,6,X,X,3,8,X,,9,3,6,7,2,1,4,2,5,,9,8,X,1,X,X,1,3,X
,10,4,X,6,X,X,3,2,X,,10,2,1,8,2,1,7,1,5,,10,8,X,1,X,X,1,X,3
,11,2,X,2,X,X,3,2,X,,11,6,6,6,2,3,3,5,3,,11,8,7,1,X,X,2,3,6
,12,4,X,6,X,X,3,2,X,,12,8,6,6,2,X,4,5,2,,12,8,7,5,X,X,2,3,6
,13,3,X,6,X,X,3,2,X,,13,4,3,1,X,6,5,5,3,,13,8,7,5,X,X,2,3,6
,14,3,X,6,8,X,3,2,X,,14,2,7,7,X,2,5,1,2,,14,8,7,6,X,X,2,3,X
,15,2,3,6,5,X,3,2,X,,15,2,1,6,X,8,1,X,2,,15,8,X,6,X,X,2,3,6
,16,6,3,2,7,X,3,2,X,,16,4,1,7,8,6,X,5,5,,16,8,7,8,X,X,2,3,7
,17,7,8,4,6,X,3,2,X,,17,8,1,7,3,4,2,X,5,,17,X,7,X,X,4,3,3,4
,18,2,6,X,8,X,3,2,X,,18,2,1,6,6,7,7,8,6,,18,8,7,5,X,7,8,2,5
,19,7,3,2,8,X,3,2,X,,19,2,3,7,6,3,7,5,X,,19,8,7,X,X,2,X,6,6
,20,3,8,2,1,X,3,2,X,,20,8,3,2,2,3,1,5,4,,20,4,3,X,X,4,1,3,1
,21,2,7,X,6,X,3,2,X,,21,2,1,7,3,1,1,X,7,,21,4,3,1,X,3,2,1,2
